S No,User,Question No,Correct Answer,User Answer
7,dylan.dejonge0610,Question 15,option 3,option Volume = V = (18-2x)^2 *x. Set V’=0 gives x=3 or x=9. Since x=9 leaves you with no box x = 3 so you should cut of squares with a side length of 3 cm
7,dylan.dejonge0610,Question 16,350,Sai needs vitamin A and B but the fruits contain only vitamin A and C. Therefore Sai will not get his vitamins and die. If the fruits do only contain A and C the costs are 200 Rs a week to get all vitamin A But Sai still dies if the C had to be a B (or the B a C) the minimum cost per week is 380 Rs
7,dylan.dejonge0610,Question 17,1000,"Rounded of it’s 994,98 Rs


(exact it’s 1680*sqrt(1/7) + 360 Rs)"
7,dylan.dejonge0610,Question 18,10,x = 30 and y = 20 gives x-y = 10
7,dylan.dejonge0610,Question 19,168,168
7,dylan.dejonge0610,Question 20,option 2,option 2
8,canded.riya,Question 1,option 1,option 2
8,canded.riya,Question 2,option 1,option 1
8,canded.riya,Question 3,option 3,option 2
8,canded.riya,Question 4,option 1,option 3
8,canded.riya,Question 5,option 2,option 2
8,canded.riya,Question 6,420,660
8,canded.riya,Question 7,option 2,option 2
8,canded.riya,Question 8,759,25
8,canded.riya,Question 9,option 1,option 1
8,canded.riya,Question 10,14,28
8,canded.riya,Question 11,11,11
8,canded.riya,Question 12,option 1,option 1
8,canded.riya,Question 13,option 2,option 1
8,canded.riya,Question 14,option 2,option 2
8,canded.riya,Question 15,option 2,option 2
8,canded.riya,Question 16,option 3,
8,canded.riya,Question 17,350,440
8,canded.riya,Question 18,1000,
8,canded.riya,Question 19,10,
8,canded.riya,Question 20,168,
9,bmaster251,Question 1,option 1,option 2
9,bmaster251,Question 2,option 2,option 2
9,bmaster251,Question 3,option 1,option 1
9,bmaster251,Question 4,option 3,option 4
9,bmaster251,Question 5,option 1,option 1
9,bmaster251,Question 6,option 2,option 2
9,bmaster251,Question 7,420,420
9,bmaster251,Question 8,option 2,option 2
9,bmaster251,Question 9,759,30
9,bmaster251,Question 10,option 1,option 2
9,bmaster251,Question 11,14,14
9,bmaster251,Question 12,11,11
9,bmaster251,Question 13,option 1,option 1
9,bmaster251,Question 14,option 2,option 2
9,bmaster251,Question 15,option 3,option 3
9,bmaster251,Question 16,350,"280 assuming a he needs 10 units of vitamin C, 200 if you meant vitamin B in the setup"
9,bmaster251,Question 17,1000,600
9,bmaster251,Question 18,10,
9,bmaster251,Question 19,168,
9,bmaster251,Question 20,option 2,option 1
10,isaacwbeh,Question 1,option 1,option 1
10,isaacwbeh,Question 2,option 1,option 1
10,isaacwbeh,Question 3,option 3,option 4
10,isaacwbeh,Question 4,option 1,option 1
10,isaacwbeh,Question 5,option 2,option 2
10,isaacwbeh,Question 6,420,420
10,isaacwbeh,Question 7,option 2,option 2
10,isaacwbeh,Question 8,759,30
10,isaacwbeh,Question 9,option 1,option 2
10,isaacwbeh,Question 10,14,14
10,isaacwbeh,Question 11,11,11
10,isaacwbeh,Question 12,option 1,option 1
10,isaacwbeh,Question 13,option 2,option 2
10,isaacwbeh,Question 14,option 2,option 1
10,isaacwbeh,Question 15,option 2,option 2
10,isaacwbeh,Question 16,option 3,option 6
10,isaacwbeh,Question 17,350,380
10,isaacwbeh,Question 18,1000,995
10,isaacwbeh,Question 19,10,30
10,isaacwbeh,Question 20,168,
11,aditi.270901,Question 1,option 1,option 2
11,aditi.270901,Question 2,option 1,option 2
11,aditi.270901,Question 3,option 3,
11,aditi.270901,Question 4,option 1,
11,aditi.270901,Question 5,option 2,
11,aditi.270901,Question 6,420,
11,aditi.270901,Question 7,option 2,
11,aditi.270901,Question 8,759,
11,aditi.270901,Question 9,option 1,
11,aditi.270901,Question 10,14,
11,aditi.270901,Question 11,11,
11,aditi.270901,Question 12,option 1,
11,aditi.270901,Question 13,option 2,
11,aditi.270901,Question 14,option 2,
11,aditi.270901,Question 15,option 2,
11,aditi.270901,Question 16,option 3,
11,aditi.270901,Question 17,350,
11,aditi.270901,Question 18,1000,
11,aditi.270901,Question 19,10,
11,aditi.270901,Question 20,168,
12,gojkovic.ljubomir001,Question 1,option 1,option 1
12,gojkovic.ljubomir001,Question 2,option 1,option 1
12,gojkovic.ljubomir001,Question 3,option 3,option 2
12,gojkovic.ljubomir001,Question 4,option 1,option 1
12,gojkovic.ljubomir001,Question 5,option 2,option 2
12,gojkovic.ljubomir001,Question 6,420,3
12,gojkovic.ljubomir001,Question 7,option 2,option 1
12,gojkovic.ljubomir001,Question 8,759,3
12,gojkovic.ljubomir001,Question 9,option 1,option 1
12,gojkovic.ljubomir001,Question 10,14,5
12,gojkovic.ljubomir001,Question 11,11,6
12,gojkovic.ljubomir001,Question 12,option 1,option 1
12,gojkovic.ljubomir001,Question 13,option 2,option 2
12,gojkovic.ljubomir001,Question 14,option 2,option 1
12,gojkovic.ljubomir001,Question 15,option 2,option 2
12,gojkovic.ljubomir001,Question 16,option 3,option 7
12,gojkovic.ljubomir001,Question 17,350,12
12,gojkovic.ljubomir001,Question 18,1000,50
12,gojkovic.ljubomir001,Question 19,10,2
12,gojkovic.ljubomir001,Question 20,168,2
13,alice.kuikota,Question 1,option 1,option 1
13,alice.kuikota,Question 2,option 2,option 2
13,alice.kuikota,Question 3,153,153
13,alice.kuikota,Question 4,option 1,option 1
13,alice.kuikota,Question 5,option 1,option 1
13,alice.kuikota,Question 6,420,420
13,alice.kuikota,Question 7,option 2,option 2
13,alice.kuikota,Question 8,56,63
13,alice.kuikota,Question 9,option 1,option 1
13,alice.kuikota,Question 10,11,11
13,alice.kuikota,Question 11,391,390
13,alice.kuikota,Question 12,option 1,option 1
13,alice.kuikota,Question 13,option 1,option 1
13,alice.kuikota,Question 14,option 2,option 2
14,Nikolina.kuhar000,Question 1,option 1,option 1
14,Nikolina.kuhar000,Question 2,option 1,option 2
14,Nikolina.kuhar000,Question 3,option 3,option 4
14,Nikolina.kuhar000,Question 4,option 1,option 1
14,Nikolina.kuhar000,Question 5,option 2,option 2
14,Nikolina.kuhar000,Question 6,420,
14,Nikolina.kuhar000,Question 7,option 2,option 3
14,Nikolina.kuhar000,Question 8,759,14
14,Nikolina.kuhar000,Question 9,option 1,option 1
14,Nikolina.kuhar000,Question 10,14,14
14,Nikolina.kuhar000,Question 11,11,11
14,Nikolina.kuhar000,Question 12,option 1,option 1
14,Nikolina.kuhar000,Question 13,option 2,option 2
14,Nikolina.kuhar000,Question 14,option 2,option 2
14,Nikolina.kuhar000,Question 15,option 2,option 1
14,Nikolina.kuhar000,Question 16,option 3,
14,Nikolina.kuhar000,Question 17,350,380
14,Nikolina.kuhar000,Question 18,1000,1080140
14,Nikolina.kuhar000,Question 19,10,135000
14,Nikolina.kuhar000,Question 20,168,
15,Pushpak.aggarwal2119,Question 1,option 1,option 1
15,Pushpak.aggarwal2119,Question 2,option 2,option 2
15,Pushpak.aggarwal2119,Question 3,option 1,option 1
15,Pushpak.aggarwal2119,Question 4,option 3,option 4
15,Pushpak.aggarwal2119,Question 5,option 1,option 3
15,Pushpak.aggarwal2119,Question 6,option 2,option 2
15,Pushpak.aggarwal2119,Question 7,420,420
15,Pushpak.aggarwal2119,Question 8,option 2,option 2
15,Pushpak.aggarwal2119,Question 9,759,759
15,Pushpak.aggarwal2119,Question 10,option 1,option 1
15,Pushpak.aggarwal2119,Question 11,14,15
15,Pushpak.aggarwal2119,Question 12,11,11
15,Pushpak.aggarwal2119,Question 13,option 1,option 1
15,Pushpak.aggarwal2119,Question 14,option 2,option 2
15,Pushpak.aggarwal2119,Question 15,option 3,option 6
15,Pushpak.aggarwal2119,Question 16,350,380
15,Pushpak.aggarwal2119,Question 17,1000,988.8
15,Pushpak.aggarwal2119,Question 18,10,10
15,Pushpak.aggarwal2119,Question 19,168,168
15,Pushpak.aggarwal2119,Question 20,option 2,option 2
16,kaustuv4006,Question 1,option 1,option 2
16,kaustuv4006,Question 2,option 2,option 2
16,kaustuv4006,Question 3,153,153
16,kaustuv4006,Question 4,option 1,option 2
16,kaustuv4006,Question 5,option 1,option 1
16,kaustuv4006,Question 6,420,343
16,kaustuv4006,Question 7,option 2,option 1
16,kaustuv4006,Question 8,56,49
16,kaustuv4006,Question 9,option 1,option 2
16,kaustuv4006,Question 10,11,11
16,kaustuv4006,Question 11,391,391
16,kaustuv4006,Question 12,option 1,option 1
16,kaustuv4006,Question 13,option 1,option 1
16,kaustuv4006,Question 14,option 2,option 2
17,amitozarsh,Question 1,option 1,option 1
17,amitozarsh,Question 2,option 1,option 1
17,amitozarsh,Question 3,option 3,
17,amitozarsh,Question 4,option 1,option 1
17,amitozarsh,Question 5,option 2,option 2
17,amitozarsh,Question 6,420,
17,amitozarsh,Question 7,option 2,option 2
17,amitozarsh,Question 8,759,
17,amitozarsh,Question 9,option 1,option 2
17,amitozarsh,Question 10,14,
17,amitozarsh,Question 11,11,
17,amitozarsh,Question 12,option 1,option 1
17,amitozarsh,Question 13,option 2,option 1
17,amitozarsh,Question 14,option 2,option 1
17,amitozarsh,Question 15,option 2,option 1
17,amitozarsh,Question 16,option 3,
17,amitozarsh,Question 17,350,
17,amitozarsh,Question 18,1000,
17,amitozarsh,Question 19,10,
17,amitozarsh,Question 20,168,
18,vijaykasnia46,Question 1,option 1,option 2
18,vijaykasnia46,Question 2,option 2,option 1
18,vijaykasnia46,Question 3,option 1,option 1
18,vijaykasnia46,Question 4,option 3,option They have make atleast 6 cuts of the wire.
18,vijaykasnia46,Question 5,option 1,option 3
18,vijaykasnia46,Question 6,option 2,option 2
18,vijaykasnia46,Question 7,420,If minimum 15% of acid and maximum 18% of acid will be added then it will be 33%.
18,vijaykasnia46,Question 8,option 2,
18,vijaykasnia46,Question 9,759,
18,vijaykasnia46,Question 10,option 1,
18,vijaykasnia46,Question 11,14,10000
18,vijaykasnia46,Question 12,11,26
18,vijaykasnia46,Question 13,option 1,option 2
18,vijaykasnia46,Question 14,option 2,option 1
18,vijaykasnia46,Question 15,option 3,option 18cm
18,vijaykasnia46,Question 16,350,₹340/-
18,vijaykasnia46,Question 17,1000,
18,vijaykasnia46,Question 18,10,
18,vijaykasnia46,Question 19,168,
18,vijaykasnia46,Question 20,option 2,
19,angadsingh1729,Question 1,option 1,option 1
19,angadsingh1729,Question 2,option 1,option 1
19,angadsingh1729,Question 3,option 3,option 3
19,angadsingh1729,Question 4,option 1,option 1
19,angadsingh1729,Question 5,option 2,option 1
19,angadsingh1729,Question 6,420,420
19,angadsingh1729,Question 7,option 2,option 2
19,angadsingh1729,Question 8,759,759
19,angadsingh1729,Question 9,option 1,option 2
19,angadsingh1729,Question 10,14,14
19,angadsingh1729,Question 11,11,11
19,angadsingh1729,Question 12,option 1,option 1
19,angadsingh1729,Question 13,option 2,option 2
19,angadsingh1729,Question 14,option 2,option 2
19,angadsingh1729,Question 15,option 2,option 2
19,angadsingh1729,Question 16,option 3,option 18
19,angadsingh1729,Question 17,350,380
19,angadsingh1729,Question 18,1000,1000
19,angadsingh1729,Question 19,10,10
19,angadsingh1729,Question 20,168,168
20,Kamalpiyush3,Question 1,option 1,option 1
20,Kamalpiyush3,Question 2,option 1,option 2
20,Kamalpiyush3,Question 3,option 3,
20,Kamalpiyush3,Question 4,option 1,option 2
20,Kamalpiyush3,Question 5,option 2,option 1
20,Kamalpiyush3,Question 6,420,55
20,Kamalpiyush3,Question 7,option 2,option 2
20,Kamalpiyush3,Question 8,759,7
20,Kamalpiyush3,Question 9,option 1,
20,Kamalpiyush3,Question 10,14,6
20,Kamalpiyush3,Question 11,11,6 
20,Kamalpiyush3,Question 12,option 1,option 2
20,Kamalpiyush3,Question 13,option 2,option 1
20,Kamalpiyush3,Question 14,option 2,option 1
20,Kamalpiyush3,Question 15,option 2,option 1
20,Kamalpiyush3,Question 16,option 3,option 78
20,Kamalpiyush3,Question 17,350,6
20,Kamalpiyush3,Question 18,1000,56
20,Kamalpiyush3,Question 19,10,65
20,Kamalpiyush3,Question 20,168,34
21,ap40902,Question 1,option 1,option 1
21,ap40902,Question 2,option 1,option 2
21,ap40902,Question 3,option 3,option 2
21,ap40902,Question 4,option 1,
21,ap40902,Question 5,option 2,option 2
21,ap40902,Question 6,420,420
21,ap40902,Question 7,option 2,option 3
21,ap40902,Question 8,759,759
21,ap40902,Question 9,option 1,option 2
21,ap40902,Question 10,14,14
21,ap40902,Question 11,11,3
21,ap40902,Question 12,option 1,option 1
21,ap40902,Question 13,option 2,option 2
21,ap40902,Question 14,option 2,
21,ap40902,Question 15,option 2,option 2
21,ap40902,Question 16,option 3,option 8.0498
21,ap40902,Question 17,350,
21,ap40902,Question 18,1000,
21,ap40902,Question 19,10,
21,ap40902,Question 20,168,
22,ankushparcha11,Question 1,option 1,option 1
22,ankushparcha11,Question 2,option 1,option 2
22,ankushparcha11,Question 3,option 3,option minimum 5 no. of cuts  are required 
22,ankushparcha11,Question 4,option 1,option 1
22,ankushparcha11,Question 5,option 2,option 2
22,ankushparcha11,Question 6,420,"the required equation is 

15%< 3x/10 + 3/10 < 18%
then ,

-1/2 < x < -2/5
hence a+b = -9/10


"
22,ankushparcha11,Question 7,option 2,option 1
22,ankushparcha11,Question 8,759,"According to question 
the required height (x) is given by
x = (100tan(32°)tan(30°))/(tan(32°)+tan(30°))

x = 30.00085..
the nearest integer is 30


"
22,ankushparcha11,Question 9,option 1,option 1
22,ankushparcha11,Question 10,14,
22,ankushparcha11,Question 11,11,29
22,ankushparcha11,Question 12,option 1,option 1
22,ankushparcha11,Question 13,option 2,option 1
22,ankushparcha11,Question 14,option 2,option 1
22,ankushparcha11,Question 15,option 2,option 2
22,ankushparcha11,Question 16,option 3,
22,ankushparcha11,Question 17,350,"200 for fruit 1 
not sure about fruit 2 (not enough info about vitamin b)"
22,ankushparcha11,Question 18,1000,"xy=4000 x is the length and y is the breadth

"
22,ankushparcha11,Question 19,10,
22,ankushparcha11,Question 20,168,
23,kushgadia,Question 1,option 1,option 1
23,kushgadia,Question 2,option 2,option 2
23,kushgadia,Question 3,option 1,option 1
23,kushgadia,Question 4,option 3,option 3
23,kushgadia,Question 5,option 1,option 1
23,kushgadia,Question 6,option 2,option 2
23,kushgadia,Question 7,420,420
23,kushgadia,Question 8,option 2,option 2
23,kushgadia,Question 9,759,759
23,kushgadia,Question 10,option 1,option 2
23,kushgadia,Question 11,14,14
23,kushgadia,Question 12,11,11
23,kushgadia,Question 13,option 1,option 1
23,kushgadia,Question 14,option 2,option 2
23,kushgadia,Question 15,option 3,option 3
23,kushgadia,Question 16,350,380
23,kushgadia,Question 17,1000,1000
23,kushgadia,Question 18,10,10
23,kushgadia,Question 19,168,168
23,kushgadia,Question 20,option 2,
24,jibraniqbal2003,Question 1,option 1,option 2
24,jibraniqbal2003,Question 2,option 2,option 2
24,jibraniqbal2003,Question 3,option 1,
24,jibraniqbal2003,Question 4,option 3,option 2
24,jibraniqbal2003,Question 5,option 1,option 1
24,jibraniqbal2003,Question 6,option 2,option 2
24,jibraniqbal2003,Question 7,420,400
24,jibraniqbal2003,Question 8,option 2,option 3
24,jibraniqbal2003,Question 9,759,759
24,jibraniqbal2003,Question 10,option 1,option 2
24,jibraniqbal2003,Question 11,14,14
24,jibraniqbal2003,Question 12,11,
24,jibraniqbal2003,Question 13,option 1,option 1
24,jibraniqbal2003,Question 14,option 2,option 2
24,jibraniqbal2003,Question 15,option 3,
24,jibraniqbal2003,Question 16,350,380
24,jibraniqbal2003,Question 17,1000,1000
24,jibraniqbal2003,Question 18,10,
24,jibraniqbal2003,Question 19,168,
24,jibraniqbal2003,Question 20,option 2,option 1
25,gadiarinku,Question 1,option 1,option 2
25,gadiarinku,Question 2,option 2,option 2
25,gadiarinku,Question 3,153,153
25,gadiarinku,Question 4,option 1,
25,gadiarinku,Question 5,option 1,option 1
25,gadiarinku,Question 6,420,
25,gadiarinku,Question 7,option 2,option 2
25,gadiarinku,Question 8,56,225
25,gadiarinku,Question 9,option 1,option 1
25,gadiarinku,Question 10,11,
25,gadiarinku,Question 11,391,320
25,gadiarinku,Question 12,option 1,option 2
25,gadiarinku,Question 13,option 1,option 1
25,gadiarinku,Question 14,option 2,option 2
26,ragvreka,Question 1,option 1,option 1
26,ragvreka,Question 2,option 2,option 1
26,ragvreka,Question 3,option 1,option 1
26,ragvreka,Question 4,option 3,
26,ragvreka,Question 5,option 1,option 1
26,ragvreka,Question 6,option 2,option 2
26,ragvreka,Question 7,420,
26,ragvreka,Question 8,option 2,
26,ragvreka,Question 9,759,
26,ragvreka,Question 10,option 1,
26,ragvreka,Question 11,14,
26,ragvreka,Question 12,11,
26,ragvreka,Question 13,option 1,
26,ragvreka,Question 14,option 2,
26,ragvreka,Question 15,option 3,
26,ragvreka,Question 16,350,
26,ragvreka,Question 17,1000,
26,ragvreka,Question 18,10,
26,ragvreka,Question 19,168,
26,ragvreka,Question 20,option 2,option 1
27,cuentadesanti,Question 1,option 1,option 1
27,cuentadesanti,Question 2,option 2,option 2
27,cuentadesanti,Question 3,option 1,option 2
27,cuentadesanti,Question 4,option 3,option 3
27,cuentadesanti,Question 5,option 1,option 1
27,cuentadesanti,Question 6,option 2,option 2
27,cuentadesanti,Question 7,420,420
27,cuentadesanti,Question 8,option 2,option 2
27,cuentadesanti,Question 9,759,759
27,cuentadesanti,Question 10,option 1,option 2
27,cuentadesanti,Question 11,14,12
27,cuentadesanti,Question 12,11,12
27,cuentadesanti,Question 13,option 1,option 1
27,cuentadesanti,Question 14,option 2,option 1
27,cuentadesanti,Question 15,option 3,option 6
27,cuentadesanti,Question 16,350,41
27,cuentadesanti,Question 17,1000,"302,768.4"
27,cuentadesanti,Question 18,10,10
27,cuentadesanti,Question 19,168,168
27,cuentadesanti,Question 20,option 2,option 2
28,surajg7588,Question 1,option 1,option 1
28,surajg7588,Question 2,option 1,option 2
28,surajg7588,Question 3,option 3,option 4
28,surajg7588,Question 4,option 1,option 1
28,surajg7588,Question 5,option 2,option 2
28,surajg7588,Question 6,420,6
28,surajg7588,Question 7,option 2,option 2
28,surajg7588,Question 8,759,24
28,surajg7588,Question 9,option 1,option 1
28,surajg7588,Question 10,14,10
28,surajg7588,Question 11,11,7
28,surajg7588,Question 12,option 1,option 2
28,surajg7588,Question 13,option 2,option 2
28,surajg7588,Question 14,option 2,option 2
28,surajg7588,Question 15,option 2,option 2
28,surajg7588,Question 16,option 3,option 5
28,surajg7588,Question 17,350,5
28,surajg7588,Question 18,1000,₹2400
28,surajg7588,Question 19,10,15
28,surajg7588,Question 20,168,45
29,tiwarishubhangi2003,Question 1,option 1,option 1
29,tiwarishubhangi2003,Question 2,option 2,option 2
29,tiwarishubhangi2003,Question 3,option 1,option 1
29,tiwarishubhangi2003,Question 4,option 3,
29,tiwarishubhangi2003,Question 5,option 1,option 3
29,tiwarishubhangi2003,Question 6,option 2,option 2
29,tiwarishubhangi2003,Question 7,420,33
29,tiwarishubhangi2003,Question 8,option 2,option 2
29,tiwarishubhangi2003,Question 9,759,
29,tiwarishubhangi2003,Question 10,option 1,option 2
29,tiwarishubhangi2003,Question 11,14,53
29,tiwarishubhangi2003,Question 12,11,63 
29,tiwarishubhangi2003,Question 13,option 1,option 2
29,tiwarishubhangi2003,Question 14,option 2,option 2
29,tiwarishubhangi2003,Question 15,option 3,
29,tiwarishubhangi2003,Question 16,350,700rupees
29,tiwarishubhangi2003,Question 17,1000,
29,tiwarishubhangi2003,Question 18,10,
29,tiwarishubhangi2003,Question 19,168,
29,tiwarishubhangi2003,Question 20,option 2,option 1
30,bachtiarhafidz27,Question 1,option 1,option 2
30,bachtiarhafidz27,Question 2,option 1,option 1
30,bachtiarhafidz27,Question 3,option 3,
30,bachtiarhafidz27,Question 4,option 1,option 1
30,bachtiarhafidz27,Question 5,option 2,option 2
30,bachtiarhafidz27,Question 6,420,
30,bachtiarhafidz27,Question 7,option 2,option 3
30,bachtiarhafidz27,Question 8,759,86
30,bachtiarhafidz27,Question 9,option 1,
30,bachtiarhafidz27,Question 10,14,14
30,bachtiarhafidz27,Question 11,11,11
30,bachtiarhafidz27,Question 12,option 1,option 1
30,bachtiarhafidz27,Question 13,option 2,option 2
30,bachtiarhafidz27,Question 14,option 2,option 2
30,bachtiarhafidz27,Question 15,option 2,option 2
30,bachtiarhafidz27,Question 16,option 3,option 3
30,bachtiarhafidz27,Question 17,350,380
30,bachtiarhafidz27,Question 18,1000,
30,bachtiarhafidz27,Question 19,10,10
30,bachtiarhafidz27,Question 20,168,168
31,spaceskaalien9,Question 1,option 1,option 1
31,spaceskaalien9,Question 2,option 2,option 2
31,spaceskaalien9,Question 3,option 1,option 1
31,spaceskaalien9,Question 4,option 3,option 5
31,spaceskaalien9,Question 5,option 1,option 3
31,spaceskaalien9,Question 6,option 2,
